S/N,Name,Email Address,Lesson Summary,Quiz Summary,Assignment Summary,Grade Point Average,Intermediate class Eligibility
1,644eb5f3fc13ae246d842f87,0,0,0.0,63,84.09,true
2,644eb5f3fc13ae246d842f88,0,0,0.0,10,15.37,true
3,644eb5f3fc13ae246d842f89,0,0,0.0,16,99.32,true
4,644eb5f3fc13ae246d842f8a,0,0,0.0,83,84.26,true
5,644eb5f3fc13ae246d842f8b,0,0,0.0,48,53.03,true
6,644eb5f3fc13ae246d842f8c,0,0,0.0,89,62.7,false
7,644eb5f3fc13ae246d842f8d,0,0,0.0,30,71.61,true
8,644eb5f3fc13ae246d842f8e,0,0,0.0,18,77.84,true
9,644eb5f3fc13ae246d842f8f,0,0,0.0,28,71.36,true
10,644eb5f3fc13ae246d842f90,0,0,0.0,32,83.88,true
11,644eb5f3fc13ae246d842f91,0,0,0.0,41,32.48,false
12,644eb5f3fc13ae246d842f92,0,0,0.0,58,39.89,false
13,644eb5f3fc13ae246d842f93,0,0,0.0,49,78.38,true
14,644eb5f3fc13ae246d842f94,0,0,0.0,15,21.58,false
15,644eb5f3fc13ae246d842f95,0,0,0.0,88,90.36,false
16,644eb5f3fc13ae246d842f96,0,0,0.0,82,51.11,true
17,644eb5f3fc13ae246d842f97,0,0,0.0,39,52.18,true
18,644eb5f3fc13ae246d842f98,0,0,0.0,0,12.74,false
19,644eb5f3fc13ae246d842f99,0,0,0.0,65,9.37,true
20,644eb5f3fc13ae246d842f9a,0,0,0.0,37,72.87,false
21,644eb5f3fc13ae246d842f9b,0,0,0.0,77,85.12,true
22,644eb5f3fc13ae246d842f9c,0,0,0.0,100,64.95,true
23,644eb5f3fc13ae246d842f9d,0,0,0.0,12,53.27,false
24,644eb5f3fc13ae246d842f9e,0,0,0.0,1,62.88,true
25,644eb5f3fc13ae246d842f9f,0,0,0.0,63,99.11,true
26,644eb5f3fc13ae246d842fa0,0,0,0.0,85,32.19,false
27,644eb5f3fc13ae246d842fa1,0,0,0.0,19,15.63,true
28,644eb5f3fc13ae246d842fa2,0,0,0.0,50,31.34,true
29,644eb5f3fc13ae246d842fa3,0,0,0.0,47,89.52,false
30,644eb5f3fc13ae246d842fa4,0,0,0.0,14,44.08,false
31,644eb5f3fc13ae246d842fa5,0,0,0.0,43,17.8,true
32,644eb5f3fc13ae246d842fa6,0,0,0.0,87,33.57,false
33,644eb5f3fc13ae246d842fa7,0,0,0.0,73,31.51,true
34,644eb5f3fc13ae246d842fa8,0,0,0.0,35,40.34,false
35,644eb5f3fc13ae246d842fa9,0,0,0.0,33,67.41,true
36,644eb5f3fc13ae246d842faa,0,0,0.0,86,67.44,false
37,644eb5f3fc13ae246d842fab,0,0,0.0,33,68.72,false
38,644eb5f3fc13ae246d842fac,0,0,0.0,57,47.8,false
